,Unnamed: 0,ID,Title,Lat,Lon,Slug,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10,2020-11,2020-12
37,37,297466683,Кузнецова Пр.,59.8495148275,30.1823338275,,338,474,594,704,557,281,209,218,157,138,159,464,373,269,238,332,236,237,233,296,328,304,237,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,38,825451821,Ресторан Бахрома,59.9454998104,30.4893243274,,331,309,432,334,314,337,340,393,615,923,797,770,734,452,465,450,574,531,643,648,830,924,871,1309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,39,500705887,На Кондратьевском,59.9824751317,30.393484803299998,,571,398,381,448,416,207,316,369,439,862,843,850,701,521,562,67,56,345,336,362,404,396,360,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,40,226360387,"Мкр ""7 Столиц"", Санкт-Петербург",59.8978149874,30.518242426500002,7-,2002,1769,2040,2026,2030,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,171,443,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,41,711048274,Камышовая Улица,60.009832754099996,30.211053935,,125,0,1,1,0,0,0,8,71,72,95,53,55,41,66,69,73,82,120,86,0,7,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,42,226297184,Адмиралтейская набережная,59.93962494,30.3080751779,,485,317,647,793,2162,1603,4310,2302,1431,1042,835,521,842,347,412,667,1527,1994,1454,820,569,401,348,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,43,1017882691,Проспект Косыгина,59.94444444,30.47694444,,707,598,766,822,667,722,547,593,895,453,283,965,927,455,515,417,371,390,368,284,373,353,369,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,44,793275022,Жк Рио,59.9155125572,30.4394931898,,293,233,270,229,229,187,200,148,147,221,216,284,240,236,185,196,128,110,77,125,139,124,137,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,45,222844739,"Санкт Петербург, Проспект Луначарского",60.0332064097,30.3795923977,,435,1564,1719,2287,2636,2136,2053,2396,1985,711,550,598,607,481,612,598,639,449,634,863,1045,1254,1109,1328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,46,48050481,м. Нарвская,59.9001589549,30.2745713428,,1247,1444,1940,1981,333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,47,218649063,Prospekt Bolshevikov,59.919916666700004,30.46675,prospekt-bolshevikov,752,784,1687,1443,1515,1503,1268,1266,1301,1362,1661,1847,1719,1363,1019,1212,1169,1087,1050,1053,1147,1084,1335,1556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,48,267253219,Будапештская Улица,59.8525634632,30.3846572053,,992,789,1099,1020,821,728,680,535,872,290,278,1966,1084,466,920,761,396,514,544,730,931,994,826,1097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,49,13422169,"Федеральный Центр Сердца, Крови И Эндокринологии Им. В. А. Алмазова",60.0155,30.30153,,86,88,127,149,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,50,14858503,МЕТРОПОЛЬ,59.9330291054,30.3338395639,,166,269,678,307,191,176,145,121,177,285,208,404,187,176,186,162,150,202,153,115,156,234,248,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,51,470264301,Малая Бухарестская,59.8512234946,30.4117820067,,276,233,359,261,341,2,0,4,33,46,30,59,47,22,33,30,27,15,63,141,168,171,159,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,52,566319947,Бекицер/בקיצר,59.92663,30.34279,,309,310,324,396,515,466,456,403,386,276,293,269,267,260,211,267,392,254,276,305,249,211,174,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,53,474135266,Санкт-Петербург Проспект Энергетиков Дом 42,59.9693194749,30.436291657199998,-42,232,167,304,174,277,247,294,196,266,340,278,349,120,0,1,0,0,41,152,182,160,168,108,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,54,5194302,Царский Двор,59.864233,30.336097,,71,50,58,45,42,40,47,24,11,18,0,5,6,4,11,8,8,9,5,5,9,14,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,55,570657715,Kupchino,59.829722222200004,30.3752777778,kupchino,118,166,184,625,313,269,356,304,3119,1600,1341,2558,2316,1922,1642,1306,1285,671,696,820,1031,1038,873,1073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,56,1034870466,Sasha's Bar,59.84940584,30.143843525,sashas-bar,45,56,50,32,46,40,28,49,35,57,68,54,33,64,54,28,25,12,31,53,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,57,48971677,Санкт-Петербургский Городской Суд,59.8651830847,30.306784306500003,-,35,58,51,64,62,63,67,49,93,112,79,106,80,40,67,46,61,38,32,47,40,69,84,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,58,548737490,Мюллюпельто,59.86367215,30.321066,,46,24,15,27,26,45,59,102,67,27,10,5,16,6,5,10,32,18,20,18,13,7,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,59,374111943,"Radisson Sonya Hotel, St. Petersburg",59.946405799999994,30.348198999999997,radisson-sonya-hotel-st-petersburg,58,116,99,87,68,51,61,47,62,81,57,75,59,49,44,66,52,43,35,41,35,38,47,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,60,264971908,The Hermitage Hotel,59.9234411395,30.3431255133,the-hermitage-hotel,141,232,184,212,159,157,249,251,199,264,402,320,225,256,185,163,199,124,140,194,181,144,229,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,61,226939531,Завод Красный Треугольник,59.9068672833,30.2813653667,,519,600,709,751,694,125,7,82,370,426,271,211,190,188,202,255,296,273,223,283,283,311,227,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,62,576374954,Ozerki,60.03715,30.3215166667,ozerki,878,851,1130,1235,1681,1367,891,774,769,324,261,791,743,683,587,525,665,500,365,281,326,357,203,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,63,32660284,Пискаревка,59.988152,30.426103,,333,121,299,309,213,3,4,16,399,678,583,636,593,499,706,789,1116,547,486,482,425,580,324,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,64,414046374,Академическая,60.016287053199996,30.386396838299998,,397,336,173,192,225,183,168,159,166,260,242,174,120,97,132,183,141,114,125,103,128,160,119,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,65,49557859,Удельный парк,60.01198,30.31223,,1199,1147,1334,1477,2476,1884,1822,1564,1687,1511,140,113,230,443,270,313,734,414,389,425,379,822,339,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,66,225877601,Отель Спутник Sputnik Hotel - St.Petersburg,60.0054361764,30.354245989299997,sputnik-hotel-stpetersburg,34,26,76,36,37,31,29,40,48,51,40,51,51,38,29,28,25,41,50,51,41,56,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,67,274056604,Московские Триумфальные ворота,59.90243,30.318559999999998,,499,752,1051,1180,1087,1013,1442,1406,1197,1414,1195,2003,1263,823,1062,894,724,661,752,774,756,976,778,797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,68,225290721,Коломяжский проспект,59.9999264725,30.3002624475,,822,905,995,1089,1013,801,732,961,807,73,65,59,54,53,34,44,45,33,34,32,1,110,250,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,69,656912542,Звёздная,59.833055555600005,30.3494444444,,255,197,268,259,367,304,180,104,183,104,71,102,91,103,205,191,137,116,120,103,144,200,161,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,70,772497545,"Vesely Poselok, Sankt-Peterburg, Russia",59.9067,30.4764,vesely-poselok-sankt-peterburg-russia,270,191,244,261,292,371,350,340,570,553,520,675,633,1062,1364,1394,1356,1059,512,549,568,1079,945,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,71,12942354,ЖК Князь Александр Невский,59.8461681617,30.485234904200002,,485,446,505,518,472,482,481,417,472,480,535,560,515,436,496,535,410,331,331,296,291,260,236,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,72,774238288,Grand Hotel Emerald / Гранд Отель Эмеральд,59.9355639739,30.3711019016,grand-hotel-emerald,137,142,246,192,311,123,123,103,134,257,279,333,208,182,182,186,168,202,110,137,126,90,153,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,73,134386,MOD CLUB  Saint-Petersburg,59.939604240200005,30.3271846726,mod-club-saint-petersburg,522,394,612,545,474,525,588,522,423,518,467,280,406,336,321,439,451,435,388,463,525,437,537,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,74,505878831,Приморский проспект 137,59.983191651999995,30.215849668,137,163,157,154,154,58,9,10,15,7,2,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,75,67297442,Кораблестроителей ул.,59.9550967767,30.23172722,,525,366,482,482,329,134,116,140,244,349,200,244,248,269,337,355,374,312,250,264,225,353,320,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,76,120912680,Петро Спорт Отель,59.94493243189999,30.5482601004,,93,24,32,46,47,33,56,39,57,35,80,67,62,51,49,65,76,84,61,56,72,50,69,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,77,767662380,Plochtchad Moujestva,59.999744444399994,30.3661583333,plochtchad-moujestva,47,7,11,8,7,9,4,13,9,35,9,11,6,9,5,1,2,5,3,3,3,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,78,499041780,"Богатырский 55, К1",60.0073967165,30.213861465500003,55-1,146,150,135,95,14,0,0,2,32,31,12,19,41,32,31,29,25,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
